#,ID,NAME,EQUATION,EC-NUMBER,GENE ASSOCIATION,LOWER BOUND,UPPER BOUND,OBJECTIVE,COMPARTMENT,MIRIAM,SUBSYSTEM,REPLACEMENT ID,NOTE,REFERENCE,CONFIDENCE SCORE
,MAR03905,,ethanol[c] + NAD+[c] => acetaldehyde[c] + H+[c] + NADH[c],1.1.1.1;1.1.1.71,Adh1 or Adh4 or Adh5 or Adh6b or Adh7 or Adhfe1 or Zadh2,,,,,,Glycolysis / Gluconeogenesis,,,PMID:10868354;PMID:12491384;PMID:12818203;PMID:14674758;PMID:15289102;PMID:15299346;PMID:15327949;PMID:15682493;PMID:15713978,0
,MAR05615,,alanine[s] + homoserine[c] + Na+[s] => alanine[c] + homoserine[s] + Na+[c],,Slc7a5 or Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05616,,alanine[s] + isoleucine[c] + Na+[s] => alanine[c] + isoleucine[s] + Na+[c],,Slc7a5 or Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05617,,glutamine[s] + glycine[c] + Na+[s] => glutamine[c] + glycine[s] + Na+[c],,Slc7a5 or Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05618,,alanine[c] + glutamine[s] + Na+[s] => alanine[s] + glutamine[c] + Na+[c],,Slc1a5 or Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05619,,glutamine[s] + Na+[s] + serine[c] => glutamine[c] + Na+[c] + serine[s],,Slc1a5 or Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05620,,glutamine[s] + methionine[c] + Na+[s] => glutamine[c] + methionine[s] + Na+[c],,Slc7a5 or Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05621,,glutamine[s] + Na+[s] + tryptophan[c] => glutamine[c] + Na+[c] + tryptophan[s],,Slc7a5 or Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05622,,glutamine[s] + Na+[s] + phenylalanine[c] => glutamine[c] + Na+[c] + phenylalanine[s],,Slc7a5 or Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05623,,glutamine[s] + Na+[s] + tyrosine[c] => glutamine[c] + Na+[c] + tyrosine[s],,Slc7a5 or Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05624,,cysteine[c] + glutamine[s] + Na+[s] => cysteine[s] + glutamine[c] + Na+[c],,Slc1a5 or Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05625,,glutamine[s] + leucine[c] + Na+[s] => glutamine[c] + leucine[s] + Na+[c],,Slc7a5 or Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05626,,glutamine[s] + Na+[s] + proline[c] => glutamine[c] + Na+[c] + proline[s],,Slc7a5 or Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05627,,asparagine[c] + glutamine[s] + Na+[s] => asparagine[s] + glutamine[c] + Na+[c],,Slc1a5 or Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05628,,glutamine[s] + Na+[s] + valine[c] => glutamine[c] + Na+[c] + valine[s],,Slc7a5 or Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05629,,glutamine[s] + Na+[s] + threonine[c] => glutamine[c] + Na+[c] + threonine[s],,Slc1a5 or Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05630,,glutamine[s] + homoserine[c] + Na+[s] => glutamine[c] + homoserine[s] + Na+[c],,Slc7a5 or Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05631,,glutamine[s] + isoleucine[c] + Na+[s] => glutamine[c] + isoleucine[s] + Na+[c],,Slc7a5 or Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05632,,glycine[c] + Na+[s] + serine[s] => glycine[s] + Na+[c] + serine[c],,Slc7a5 or Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05633,,alanine[c] + Na+[s] + serine[s] => alanine[s] + Na+[c] + serine[c],,Slc1a4 or Slc1a5 or Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05634,,glutamine[c] + Na+[s] + serine[s] => glutamine[s] + Na+[c] + serine[c],,Slc1a5 or Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05635,,methionine[c] + Na+[s] + serine[s] => methionine[s] + Na+[c] + serine[c],,Slc7a5 or Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05636,,Na+[s] + serine[s] + tryptophan[c] => Na+[c] + serine[c] + tryptophan[s],,Slc7a5 or Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05637,,Na+[s] + phenylalanine[c] + serine[s] => Na+[c] + phenylalanine[s] + serine[c],,Slc7a5 or Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05638,,Na+[s] + serine[s] + tyrosine[c] => Na+[c] + serine[c] + tyrosine[s],,Slc7a5 or Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05639,,cysteine[c] + Na+[s] + serine[s] => cysteine[s] + Na+[c] + serine[c],,Slc1a4 or Slc1a5 or Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05640,,leucine[c] + Na+[s] + serine[s] => leucine[s] + Na+[c] + serine[c],,Slc7a5 or Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05641,,Na+[s] + proline[c] + serine[s] => Na+[c] + proline[s] + serine[c],,Slc7a5 or Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05642,,asparagine[c] + Na+[s] + serine[s] => asparagine[s] + Na+[c] + serine[c],,Slc1a5 or Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05643,,Na+[s] + serine[s] + valine[c] => Na+[c] + serine[c] + valine[s],,Slc7a5 or Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05644,,Na+[s] + serine[s] + threonine[c] => Na+[c] + serine[c] + threonine[s],,Slc1a4 or Slc1a5 or Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05645,,homoserine[c] + Na+[s] + serine[s] => homoserine[s] + Na+[c] + serine[c],,Slc7a5 or Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05646,,isoleucine[c] + Na+[s] + serine[s] => isoleucine[s] + Na+[c] + serine[c],,Slc7a5 or Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05647,,glycine[c] + methionine[s] + Na+[s] => glycine[s] + methionine[c] + Na+[c],,Slc7a5 or Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05648,,alanine[c] + methionine[s] + Na+[s] => alanine[s] + methionine[c] + Na+[c],,Slc7a5 or Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05649,,glutamine[c] + methionine[s] + Na+[s] => glutamine[s] + methionine[c] + Na+[c],,Slc7a5 or Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05650,,methionine[s] + Na+[s] + serine[c] => methionine[c] + Na+[c] + serine[s],,Slc7a5 or Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05651,,methionine[s] + Na+[s] + tryptophan[c] => methionine[c] + Na+[c] + tryptophan[s],,Slc7a5 or Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05652,,methionine[s] + Na+[s] + phenylalanine[c] => methionine[c] + Na+[c] + phenylalanine[s],,Slc7a5 or Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05653,,methionine[s] + Na+[s] + tyrosine[c] => methionine[c] + Na+[c] + tyrosine[s],,Slc7a5 or Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05654,,cysteine[c] + methionine[s] + Na+[s] => cysteine[s] + methionine[c] + Na+[c],,Slc7a5 or Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05655,,leucine[c] + methionine[s] + Na+[s] => leucine[s] + methionine[c] + Na+[c],,Slc7a5 or Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05656,,methionine[s] + Na+[s] + proline[c] => methionine[c] + Na+[c] + proline[s],,Slc7a5 or Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05657,,asparagine[c] + methionine[s] + Na+[s] => asparagine[s] + methionine[c] + Na+[c],,Slc7a5 or Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05658,,methionine[s] + Na+[s] + valine[c] => methionine[c] + Na+[c] + valine[s],,Slc7a5 or Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05659,,methionine[s] + Na+[s] + threonine[c] => methionine[c] + Na+[c] + threonine[s],,Slc7a5 or Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05660,,homoserine[c] + methionine[s] + Na+[s] => homoserine[s] + methionine[c] + Na+[c],,Slc7a5 or Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05661,,isoleucine[c] + methionine[s] + Na+[s] => isoleucine[s] + methionine[c] + Na+[c],,Slc7a5 or Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05662,,glycine[c] + Na+[s] + tryptophan[s] => glycine[s] + Na+[c] + tryptophan[c],,Slc7a5 or Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05663,,alanine[c] + Na+[s] + tryptophan[s] => alanine[s] + Na+[c] + tryptophan[c],,Slc7a5 or Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05664,,glutamine[c] + Na+[s] + tryptophan[s] => glutamine[s] + Na+[c] + tryptophan[c],,Slc7a5 or Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05665,,Na+[s] + serine[c] + tryptophan[s] => Na+[c] + serine[s] + tryptophan[c],,Slc7a5 or Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05666,,methionine[c] + Na+[s] + tryptophan[s] => methionine[s] + Na+[c] + tryptophan[c],,Slc7a5 or Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05667,,Na+[s] + phenylalanine[c] + tryptophan[s] => Na+[c] + phenylalanine[s] + tryptophan[c],,Slc7a5 or Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05668,,Na+[s] + tryptophan[s] + tyrosine[c] => Na+[c] + tryptophan[c] + tyrosine[s],,Slc7a5 or Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05669,,cysteine[c] + Na+[s] + tryptophan[s] => cysteine[s] + Na+[c] + tryptophan[c],,Slc7a5 or Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05670,,leucine[c] + Na+[s] + tryptophan[s] => leucine[s] + Na+[c] + tryptophan[c],,Slc7a5 or Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05671,,Na+[s] + proline[c] + tryptophan[s] => Na+[c] + proline[s] + tryptophan[c],,Slc7a5 or Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05672,,asparagine[c] + Na+[s] + tryptophan[s] => asparagine[s] + Na+[c] + tryptophan[c],,Slc7a5 or Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05673,,Na+[s] + tryptophan[s] + valine[c] => Na+[c] + tryptophan[c] + valine[s],,Slc7a5 or Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05674,,Na+[s] + threonine[c] + tryptophan[s] => Na+[c] + threonine[s] + tryptophan[c],,Slc7a5 or Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05675,,homoserine[c] + Na+[s] + tryptophan[s] => homoserine[s] + Na+[c] + tryptophan[c],,Slc7a5 or Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05676,,isoleucine[c] + Na+[s] + tryptophan[s] => isoleucine[s] + Na+[c] + tryptophan[c],,Slc7a5 or Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05677,,glycine[c] + Na+[s] + phenylalanine[s] => glycine[s] + Na+[c] + phenylalanine[c],,Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05678,,alanine[c] + Na+[s] + phenylalanine[s] => alanine[s] + Na+[c] + phenylalanine[c],,Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05679,,glutamine[c] + Na+[s] + phenylalanine[s] => glutamine[s] + Na+[c] + phenylalanine[c],,Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05680,,Na+[s] + phenylalanine[s] + serine[c] => Na+[c] + phenylalanine[c] + serine[s],,Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05681,,methionine[c] + Na+[s] + phenylalanine[s] => methionine[s] + Na+[c] + phenylalanine[c],,Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05682,,Na+[s] + phenylalanine[s] + tryptophan[c] => Na+[c] + phenylalanine[c] + tryptophan[s],,Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05683,,Na+[s] + phenylalanine[s] + tyrosine[c] => Na+[c] + phenylalanine[c] + tyrosine[s],,Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05684,,cysteine[c] + Na+[s] + phenylalanine[s] => cysteine[s] + Na+[c] + phenylalanine[c],,Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05685,,leucine[c] + Na+[s] + phenylalanine[s] => leucine[s] + Na+[c] + phenylalanine[c],,Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05686,,Na+[s] + phenylalanine[s] + proline[c] => Na+[c] + phenylalanine[c] + proline[s],,Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05687,,asparagine[c] + Na+[s] + phenylalanine[s] => asparagine[s] + Na+[c] + phenylalanine[c],,Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05688,,Na+[s] + phenylalanine[s] + valine[c] => Na+[c] + phenylalanine[c] + valine[s],,Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05689,,Na+[s] + phenylalanine[s] + threonine[c] => Na+[c] + phenylalanine[c] + threonine[s],,Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05690,,homoserine[c] + Na+[s] + phenylalanine[s] => homoserine[s] + Na+[c] + phenylalanine[c],,Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05691,,isoleucine[c] + Na+[s] + phenylalanine[s] => isoleucine[s] + Na+[c] + phenylalanine[c],,Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05692,,glycine[c] + Na+[s] + tyrosine[s] => glycine[s] + Na+[c] + tyrosine[c],,Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05693,,alanine[c] + Na+[s] + tyrosine[s] => alanine[s] + Na+[c] + tyrosine[c],,Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05694,,glutamine[c] + Na+[s] + tyrosine[s] => glutamine[s] + Na+[c] + tyrosine[c],,Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05695,,Na+[s] + serine[c] + tyrosine[s] => Na+[c] + serine[s] + tyrosine[c],,Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05696,,methionine[c] + Na+[s] + tyrosine[s] => methionine[s] + Na+[c] + tyrosine[c],,Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05697,,Na+[s] + tryptophan[c] + tyrosine[s] => Na+[c] + tryptophan[s] + tyrosine[c],,Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05698,,Na+[s] + phenylalanine[c] + tyrosine[s] => Na+[c] + phenylalanine[s] + tyrosine[c],,Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05699,,cysteine[c] + Na+[s] + tyrosine[s] => cysteine[s] + Na+[c] + tyrosine[c],,Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05700,,leucine[c] + Na+[s] + tyrosine[s] => leucine[s] + Na+[c] + tyrosine[c],,Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05701,,Na+[s] + proline[c] + tyrosine[s] => Na+[c] + proline[s] + tyrosine[c],,Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05702,,asparagine[c] + Na+[s] + tyrosine[s] => asparagine[s] + Na+[c] + tyrosine[c],,Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05703,,Na+[s] + tyrosine[s] + valine[c] => Na+[c] + tyrosine[c] + valine[s],,Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05704,,Na+[s] + threonine[c] + tyrosine[s] => Na+[c] + threonine[s] + tyrosine[c],,Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05705,,homoserine[c] + Na+[s] + tyrosine[s] => homoserine[s] + Na+[c] + tyrosine[c],,Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05706,,isoleucine[c] + Na+[s] + tyrosine[s] => isoleucine[s] + Na+[c] + tyrosine[c],,Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05707,,cysteine[s] + glycine[c] + Na+[s] => cysteine[c] + glycine[s] + Na+[c],,Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05708,,alanine[c] + cysteine[s] + Na+[s] => alanine[s] + cysteine[c] + Na+[c],,Slc1a4 or Slc1a5 or Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05709,,cysteine[s] + glutamine[c] + Na+[s] => cysteine[c] + glutamine[s] + Na+[c],,Slc1a4 or Slc1a5 or Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05710,,cysteine[s] + Na+[s] + serine[c] => cysteine[c] + Na+[c] + serine[s],,Slc1a4 or Slc1a5 or Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05711,,cysteine[s] + methionine[c] + Na+[s] => cysteine[c] + methionine[s] + Na+[c],,Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05712,,cysteine[s] + Na+[s] + tryptophan[c] => cysteine[c] + Na+[c] + tryptophan[s],,Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05713,,cysteine[s] + Na+[s] + phenylalanine[c] => cysteine[c] + Na+[c] + phenylalanine[s],,Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05714,,cysteine[s] + Na+[s] + tyrosine[c] => cysteine[c] + Na+[c] + tyrosine[s],,Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05715,,cysteine[s] + leucine[c] + Na+[s] => cysteine[c] + leucine[s] + Na+[c],,Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05716,,cysteine[s] + Na+[s] + proline[c] => cysteine[c] + Na+[c] + proline[s],,Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05717,,asparagine[c] + cysteine[s] + Na+[s] => asparagine[s] + cysteine[c] + Na+[c],,Slc1a4 or Slc1a5 or Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05718,,cysteine[s] + Na+[s] + valine[c] => cysteine[c] + Na+[c] + valine[s],,Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05719,,cysteine[s] + Na+[s] + threonine[c] => cysteine[c] + Na+[c] + threonine[s],,Slc1a4 or Slc1a5 or Slc7a11 or Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05720,,cysteine[s] + homoserine[c] + Na+[s] => cysteine[c] + homoserine[s] + Na+[c],,Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05721,,cysteine[s] + isoleucine[c] + Na+[s] => cysteine[c] + isoleucine[s] + Na+[c],,Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05722,,glycine[c] + leucine[s] + Na+[s] => glycine[s] + leucine[c] + Na+[c],,Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05723,,alanine[c] + leucine[s] + Na+[s] => alanine[s] + leucine[c] + Na+[c],,Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05724,,glutamine[c] + leucine[s] + Na+[s] => glutamine[s] + leucine[c] + Na+[c],,Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05725,,leucine[s] + Na+[s] + serine[c] => leucine[c] + Na+[c] + serine[s],,Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05726,,leucine[s] + methionine[c] + Na+[s] => leucine[c] + methionine[s] + Na+[c],,Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05727,,leucine[s] + Na+[s] + tryptophan[c] => leucine[c] + Na+[c] + tryptophan[s],,Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05728,,leucine[s] + Na+[s] + phenylalanine[c] => leucine[c] + Na+[c] + phenylalanine[s],,Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05729,,leucine[s] + Na+[s] + tyrosine[c] => leucine[c] + Na+[c] + tyrosine[s],,Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05730,,cysteine[c] + leucine[s] + Na+[s] => cysteine[s] + leucine[c] + Na+[c],,Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05731,,leucine[s] + Na+[s] + proline[c] => leucine[c] + Na+[c] + proline[s],,Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05732,,asparagine[c] + leucine[s] + Na+[s] => asparagine[s] + leucine[c] + Na+[c],,Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05733,,leucine[s] + Na+[s] + valine[c] => leucine[c] + Na+[c] + valine[s],,Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05734,,leucine[s] + Na+[s] + threonine[c] => leucine[c] + Na+[c] + threonine[s],,Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05735,,homoserine[c] + leucine[s] + Na+[s] => homoserine[s] + leucine[c] + Na+[c],,Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05736,,isoleucine[c] + leucine[s] + Na+[s] => isoleucine[s] + leucine[c] + Na+[c],,Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05737,,glycine[c] + Na+[s] + proline[s] => glycine[s] + Na+[c] + proline[c],,Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05738,,alanine[c] + Na+[s] + proline[s] => alanine[s] + Na+[c] + proline[c],,Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05739,,glutamine[c] + Na+[s] + proline[s] => glutamine[s] + Na+[c] + proline[c],,Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05740,,Na+[s] + proline[s] + serine[c] => Na+[c] + proline[c] + serine[s],,Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05741,,methionine[c] + Na+[s] + proline[s] => methionine[s] + Na+[c] + proline[c],,Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05742,,Na+[s] + proline[s] + tryptophan[c] => Na+[c] + proline[c] + tryptophan[s],,Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05743,,Na+[s] + phenylalanine[c] + proline[s] => Na+[c] + phenylalanine[s] + proline[c],,Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05744,,Na+[s] + proline[s] + tyrosine[c] => Na+[c] + proline[c] + tyrosine[s],,Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05745,,cysteine[c] + Na+[s] + proline[s] => cysteine[s] + Na+[c] + proline[c],,Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05746,,leucine[c] + Na+[s] + proline[s] => leucine[s] + Na+[c] + proline[c],,Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05747,,asparagine[c] + Na+[s] + proline[s] => asparagine[s] + Na+[c] + proline[c],,Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05748,,Na+[s] + proline[s] + valine[c] => Na+[c] + proline[c] + valine[s],,Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05749,,Na+[s] + proline[s] + threonine[c] => Na+[c] + proline[c] + threonine[s],,Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05750,,homoserine[c] + Na+[s] + proline[s] => homoserine[s] + Na+[c] + proline[c],,Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05751,,isoleucine[c] + Na+[s] + proline[s] => isoleucine[s] + Na+[c] + proline[c],,Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05752,,asparagine[s] + glycine[c] + Na+[s] => asparagine[c] + glycine[s] + Na+[c],,Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05753,,alanine[c] + asparagine[s] + Na+[s] => alanine[s] + asparagine[c] + Na+[c],,Slc1a5 or Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05754,,asparagine[s] + glutamine[c] + Na+[s] => asparagine[c] + glutamine[s] + Na+[c],,Slc1a5 or Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05755,,asparagine[s] + Na+[s] + serine[c] => asparagine[c] + Na+[c] + serine[s],,Slc1a5 or Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
,MAR05756,,asparagine[s] + methionine[c] + Na+[s] => asparagine[c] + methionine[s] + Na+[c],,Slc7a6,,,,,,Transport reactions,,,PMID:14770309;PMID:14770310,0
